"Vini DOCG/DOC/IGT";"descrizione";"normativa";"link disciplinare";"zona di produzione";"link cartografia zone produzione"
"DOC ASSISI";"La denominazione 'Assisi' prevede le tipologie Bianco, Rosso, Rosato e Novello. Le altre tipologie previste dal disciplinare sono vini monovitigno: Grechetto, Merlot, Cabernet Sauvignon, Pinot Nero, Merlot Riserva, Cabernet Sauvignon Riserva e Pinot nero Riserva.";"Disciplinare di produzione:  DM 5/5/1997  (GU 113 del 17/5/1997) e  s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Assisi.pdf/e11e2e33-2a4f-4a89-a627-4362d615de4b";"I vigneti sono ubicati in terreni di favorevole esposizione e rientranti nella fascia pedecollinare compresa tra 180 e 350 s.l.m., in parte del territorio amministrativo dei comuni di Assisi e Spello, in provincia di Perugia, e nello stesso  comune di Perugia";"http://dati.umbria.it/dataset/zona-di-produzione-vini-doc-assisi"
"DOC COLLI ALTOTIBERINI";"La denominazione 'Colli Altotiberini' prevede le tipologie Bianco, Rosso, Rosato, Novello, Bianco Superiore, Rosso Riserva. Le altre tipologie previste dal disciplinare sono lo Spumante, oltre ai seguenti vini monovitigno: Grechetto, Trebbiano, Merlot, Cabernet Sauvignon, Sangiovese, Merlot Riserva, Cabernet Sauvignon Riserva e Sangiovese Riserva.";"Disciplinare di produzione: DPR 22/1/1980 (GU 175 del 27/6/1980 e s.m. i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Colli+Altotiberini.pdf/7ff0d036-54d5-4f3d-a6d4-80df6de0fac2";"zona collinare attraversata dal Tevere, nei comuni di Citerna, Città di Castello, Gubbio, Monte Santa Maria Tiberina, Perugia, San Giustino ed Umbertide.";"http://dati.umbria.it/dataset/zone-di-produzione-vini-doc-colli-altotiberini"
"DOC COLLI PERUGINI";"La denominazione 'Colli Perugini' prevede le tipologie Bianco, Rosso, Rosato, Novello. Le altre tipologie previste dal disciplinare sono lo Spumante il Vinsanto e i seguenti vini monovitigno: Grechetto, Trebbiano, Chardonnay, Pinot Grigio, Merlot, Cabernet Sauvignon, Sangiovese.";"Disciplinare di produzione: DPR 21/10/1981 (GU 100 del 13/4/1982) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Colli+Perugini.pdf/7acdcf09-9a48-47b5-a925-a95691638954";"zona geografica costituita da parte dei territori amministrativi dei seguenti comuni: Perugia, Deruta,Marsciano,Fratta Todina, Monte Castello di Vibio e Piegaro in provincia di Perugia e San Venanzo in provincia di Terni.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-doc-colli-perugini"
"DOC SPOLETO";"La denominazione 'Spoleto' è riservata alle tipologie Bianco, Trebbiano Spoletino, Trebbiano Spoletino passito, Trebbiano Spoletino superiore e Trebbiano Spoletino spumante";"Disciplinare di produzione: DM 27/6/2011 (GU 161 del 13/7/2011) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Spoleto.pdf/18053db2-9be6-439c-92bb-97d62bd7232c";"parte dei territori comunali di Campello sul Clitunno, Castel Ritaldi, Foligno, Montefalco, Spoleto e Trevi.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-doc-spoleto"
"DOC TODI";"La denominazione “Todi” è riservata alle tipologie Bianco, Rosso, Rosso superiore, Grechetto, Grechetto superiore, Grechetto passito, Sangiovese, Sangiovese superiore, Merlot, Merlot superiore.";"Disciplinare di produzione: DM 31/5/2010 ( GU 137  del 15/6/2010)  e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Todi.pdf/99c2ba4b-20b9-4b87-ad35-d8cc8ef54085";"territorio amministrativo dei Comuni di Todi, Massa Martana, Collazzone e Monte Castello di Vibio";"http://dati.umbria.it/dataset/zona-di-produzione-vini-doc-todi"
"IGT UMBRIA";"I vini a indicazione geografica tipica “Umbria” comprendeno le tipologie Bianco, Rosso, Rosato e Novello oltre a vini movitigno con l'indicazione delle varietà idonee alla coltivazione nella Regione Umbria.";"Disciplinare di produzione:  DM 18/11/1995 (GU 284 del 5/12/1995) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/IGTUMBRIA1.pdf/57600a48-8e54-4aff-b530-de416229587d";"comprende l’intero territorio amministrativo delle province di Perugia e di Terni della Regione Umbria.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-igt-umbria"
"IGT BETTONA";"I vini a indicazione geografica tipica “Bettona” comprendono le tipologie Bianco, Rosso, Rosato e Novello oltre a vini movitigno con l'indicazione delle varietà idonee alla coltivazione nella Regione Umbria.";"Disciplinare di produzione: DM 18/11/1995 (GU 284 del 5/12/1995) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/IGT+Bettona.pdf/863e8e2a-9752-45c3-beab-b52b13fc31be";"comprende l’intero territorio amministrativo del comune di Bettona, in provincia di Perugia.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-igt-bettona"
"IGT NARNI";"I vini a indicazione geografica tipica “Narni” comprendono le tipologie Bianco, Rosso, Rosato e Novello oltre a vini movitigno con l'indicazione delle varietà idonee alla coltivazione nella Regione Umbria.";"Disciplinare di produzione: DM 18/11/1995 (GU 284 del 5/12/1995) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/IGT+Narni.pdf/5a781320-472a-4acb-a791-52904faffb3f";"comprende in tutto i territori dei comuni di Attigliano, Giove, Penna in Teverina, e in parte i territori dei comuni di: Alviano, Amelia, Calvi dell’Umbria, Guardea, Lugnano in Teverina, Montecastrilli, Narni, Otricoli, Sangemini, Terni, in provincia di Terni.";"La cartografia della zona di produzione è in lavorazione"
"IGT ALLERONA";"I vini a indicazione geografica tipica “Allerona” comprendono le tipologie Bianco, Rosso, Rosato, Novello e Passito oltre a vini movitigno con l'indicazione delle varietà idonee alla coltivazione nella Regione Umbria.";"Disciplinare di produzione: DM 18/11/1995 (GU 284 del 5/12/1995) -";"http://www.regione.umbria.it/documents/18/1934957/IGT+Allerona.pdf/1f65d71e-ebd8-4b07-9b9e-1adeeafdb4de";"intero territorio amministrativo dei comuni di: Allerona, Castelviscardo e Castelgiorgio in provincia di Terni.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-igt-allerona"
"IGT CANNARA";"I vini a indicazione geografica tipica “Cannara” comprendono le tipologie Rosso e Rosso Passito oltre a vini movitigno con l'indicazione delle varietà idonee alla coltivazione nella Regione Umbria.";"Disciplinare di produzione: DM 18/11/1995 (GU 284 del 5/12/1995) -";"http://www.regione.umbria.it/documents/18/1934957/IGT+Cannara.pdf/63edf410-097b-4ee4-bf39-e703cbf81a54";"intero territorio amministrativo dei comuni di: Cannara, Bettona, Bevagna, in provincia di Perugia.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-igt-cannara"
"IGT SPELLO";"I vini a indicazione geografica tipica “Spello” comprendono le tipologie Bianco, Rosso, Rosato oltre a vini movitigno con l'indicazione delle varietà idonee alla coltivazione nella Regione Umbria.";"Disciplinare di produzione:  DM 18/11/1995 (GU 284 del 5/12/1995) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/IGT+Spello.pdf/fa91bbce-ea31-468b-b69d-f63412debafd";"intero territorio amministrativo del comune di Spello in provincia di Perugia.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-igt-spello"
